performer_normalized,performer,first_song_year,last_song_year,first_album_year,last_album_year,years_active_on_charts,#_of_unique_years_active,total_charting_songs,total_charting_albums,#1_hit_song_count,#1_hit_album_count,top_10_song_count,top_10_album_count,top_20_song_count,top_20_album_count,top_50_song_count,top_50_album_count,highest_charting_song_name,highest_charting_song_position,first_charting_song_name,first_charting_song_position,first_charting_song_duration,total_charting_songs_duration_weeks,highest_charting_album_name,highest_charting_album_position,first_charting_album_name,first_charting_album_position,first_charting_album_duration,total_charting_albums_duration_weeks
a great big world,A Great Big World,2013,2015,2014,2015,2013-2015,3,2,2,0,0,1,1,1,1,1,1,Say Something,4,Say Something,4,26,28,Is There Anybody Out There?,3,Is There Anybody Out There?,3,17,18
a lot like birds,A Lot Like Birds,0,0,2013,2013,2013-2013,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,No Place,199,No Place,199,1,1
a new beginning,A New Beginning,0,0,1990,1990,1990-1990,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,A Day In The Life,113,A Day In The Life,113,15,15
a perfect circle,A Perfect Circle,2003,2004,2000,2018,2000-2018,5,2,6,0,0,0,4,0,4,0,5,Weak And Powerless,61,Weak And Powerless,61,18,23,Thirteenth Step,2,Mer De Noms,4,51,119
a prayer fife,A Prayer Fife,1975,1975,1976,1976,1975-1976,2,1,1,0,0,0,0,1,0,1,1,Baby Face,14,Baby Face,14,20,20,Babyface,47,Babyface,47,16,16
a r i z o n a,A R I Z O N A,0,0,2017,2017,2017-2017,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Gallery,143,Gallery,143,1,1
a r rahman,A R Rahman & The Pussycat Dolls,2009,2009,0,0,2009-2009,1,2,0,0,0,0,0,1,0,1,0,Jai Ho! (You Are My Destiny),15,Jai Ho! (You Are My Destiny),15,13,14,,0,,0,0,0
a ragamuffin band,A Ragamuffin Band,0,0,1998,1998,1998-1998,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,The Jesus Record,113,The Jesus Record,113,14,14
a rocket to the moon,A Rocket To The Moon,2010,2010,2009,2013,2009-2013,3,1,2,0,0,0,0,0,0,0,0,Like We Used To,91,Like We Used To,91,1,1,On Your Side,82,On Your Side,82,1,2
a skylit drive,A Skylit Drive,0,0,2008,2015,2008-2015,5,0,5,0,0,0,0,0,0,0,1,,0,,0,0,0,Rise,41,WIRES And The Concept Of Breathing,171,1,7
a static lullaby,A Static Lullaby,0,0,2005,2006,2005-2006,2,0,2,0,0,0,0,0,0,0,0,,0,,0,0,0,Faso Latido,129,Faso Latido,129,1,2
a taste of honey,A Taste Of Honey,1978,1982,1978,1982,1978-1982,5,4,4,1,0,2,1,2,1,3,2,Boogie Oogie Oogie,1,Boogie Oogie Oogie,1,23,61,A Taste Of Honey,6,A Taste Of Honey,6,27,84
a thousand horses,A Thousand Horses,2015,2015,2015,2015,2015-2015,1,1,1,0,0,0,0,0,1,1,1,Smoke,47,Smoke,47,20,20,Southernality,20,Southernality,20,7,7
a tribe called quest,A Tribe Called Quest,1992,2016,1990,2016,1990-2016,10,5,8,0,2,0,4,0,4,1,5,Award Tour,47,Scenario,57,15,50,"Beats, Rhymes And Life",1,People's Instinctive Travels & The Paths Of Rhythm,91,20,150
a$ap ferg,A$AP Ferg,2013,2021,2013,2020,2013-2021,6,7,5,0,0,0,2,1,3,2,4,Move Ya Hips,19,Work,100,2,35,Always Strive And Prosper,8,Trap Lord,9,6,58
a$ap mob,A$AP Mob,0,0,2016,2017,2016-2017,2,0,2,0,0,0,1,0,2,0,2,,0,,0,0,0,"Cozy Tapes, Vol. 2: Too Cozy",6,"Cozy Tapes, Vol. 1: Friends",13,8,21
a$ap rocky,A$AP Rocky,2012,2026,2013,2026,2012-2026,11,33,5,0,3,3,4,3,4,7,5,No Limit,4,F**kin Problems,8,27,167,Long.Live.A$AP,1,Long.Live.A$AP,1,106,207
"a$ap rocky & tyler, the creator","A$AP Rocky & Tyler, The Creator",2020,2020,0,0,2020-2020,1,1,0,0,0,0,0,0,0,0,0,T.D,83,T.D,83,1,1,,0,,0,0,0
a$ap twelvyy,A$AP Twelvyy,0,0,2017,2017,2017-2017,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,12,148,12,148,1,1
a'me lorain,A'me Lorain,1990,1990,0,0,1990-1990,1,2,0,0,0,1,0,1,0,1,0,"Whole Wide World (From ""True Love"")",9,"Whole Wide World (From ""True Love"")",9,20,26,,0,,0,0,0
a*teens,A*Teens,2000,2001,2000,2002,2000-2002,3,2,3,0,0,0,0,0,0,0,2,Bouncing Off The Ceiling (Upside Down),93,Dancing Queen,95,5,8,Pop 'til You Drop!,45,The Abba Generation,71,41,76
a+,A+,1996,1998,0,0,1996-1998,2,2,0,0,0,0,0,0,0,0,0,Enjoy Yourself,63,All I See,66,14,17,,0,,0,0,0
a-ha,a-ha,1985,1987,1985,1988,1985-1988,4,3,3,1,0,1,0,2,1,3,1,Take On Me,1,Take On Me,1,27,54,Hunting High And Low,15,Hunting High And Low,15,47,73
a-trak + milo & otis,A-Trak + Milo & Otis,2015,2015,0,0,2015-2015,1,1,0,0,0,0,0,0,0,0,0,Out The Speakers,98,Out The Speakers,98,1,1,,0,,0,0,0
a.b. quintanilla,A.B. Quintanilla,2000,2000,0,0,2000-2000,1,1,0,0,0,0,0,0,0,0,0,U Don't Love Me,62,U Don't Love Me,62,10,10,,0,,0,0,0
a.b. quintanilla iii,A.B. Quintanilla III,0,0,2003,2003,2003-2003,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,La Historia,109,La Historia,109,6,6
a.b. quintanilla iii presents kumbia all starz,A.B. Quintanilla III Presents Kumbia All Starz,0,0,2006,2006,2006-2006,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,From Kumbia Kings To Kumbia All Starz,68,From Kumbia Kings To Kumbia All Starz,68,11,11
a.b. quintanilla iii presents kumbia kings,A.B. Quintanilla III Presents Kumbia Kings,0,0,2003,2007,2003-2007,3,0,3,0,0,0,0,0,0,0,0,,0,,0,0,0,4,86,4,86,9,19
a.b. quintanilla iii y los kumbia kings,A.B. Quintanilla III y Los Kumbia Kings,0,0,2001,2001,2001-2001,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Shhh!,92,Shhh!,92,14,14
a.b. skhy,A.B. Skhy,1969,1969,0,0,1969-1969,1,1,0,0,0,0,0,0,0,0,0,Camel Back,100,Camel Back,100,1,1,,0,,0,0,0
a.l.t. and the lost civilization,A.L.T. And The Lost Civilization,1992,1992,0,0,1992-1992,1,1,0,0,0,0,0,0,0,1,0,Tequila,48,Tequila,48,14,14,,0,,0,0,0
a7s,A7S,2020,2020,0,0,2020-2020,1,1,0,0,0,0,0,0,0,0,0,Breaking Me,53,Breaking Me,53,13,13,,0,,0,0,0
aaliyah,Aaliyah,1994,2013,1994,2021,1994-2021,11,15,5,1,1,5,3,8,4,12,5,Try Again,1,Back & Forth,5,24,289,Aaliyah,1,Age Ain't Nothing But A Number,18,37,202
aaron carter,Aaron Carter,2000,2001,2000,2002,2000-2002,3,2,3,0,0,0,2,0,3,1,3,Aaron's Party (Come Get It),35,Aaron's Party (Come Get It),35,15,17,Aaron's Party (Come Get It),4,Aaron's Party (Come Get It),4,67,117
aaron gillespie,Aaron Gillespie,0,0,2011,2011,2011-2011,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Anthem Song,91,Anthem Song,91,1,1
aaron hall,Aaron Hall,1992,1998,1993,1998,1992-1998,5,4,2,0,0,0,0,1,0,3,1,I Miss You,14,Don't Be Afraid,44,16,62,The Truth,47,The Truth,47,55,60
aaron lewis,Aaron Lewis,2011,2021,2011,2024,2011-2024,7,2,6,0,0,0,2,1,3,1,5,Am I The Only One,14,Country Boy,87,2,4,Sinner,4,Town Line (EP),7,23,44
aaron lewis of staind,Aaron Lewis Of Staind,2001,2001,0,0,2001-2001,1,1,0,0,0,0,0,0,0,0,0,Outside,56,Outside,56,19,19,,0,,0,0,0
aaron lines,Aaron Lines,2002,2002,2003,2003,2002-2003,2,1,1,0,0,0,0,0,0,1,0,You Can't Hide Beautiful,38,You Can't Hide Beautiful,38,17,17,Living Out Loud,68,Living Out Loud,68,6,6
aaron neville,Aaron Neville,1966,1995,1991,2013,1966-2013,9,6,8,0,0,2,0,2,0,2,5,Tell It Like It Is,2,Tell It Like It Is,2,14,64,Aaron Neville's Soulful Christmas,36,Warm Your Heart,44,41,142
aaron shust,Aaron Shust,0,0,2006,2009,2006-2009,3,0,3,0,0,0,0,0,0,0,0,,0,,0,0,0,Anything Worth Saying,63,Anything Worth Saying,63,9,11
aaron tippin,Aaron Tippin,1998,2001,1991,2006,1991-2006,12,4,9,0,0,0,0,1,0,3,1,Where The Stars And Stripes And The Eagle Fly,20,For You I Will,49,20,63,Read Between The Lines,50,You've Got To Stand For Something,153,21,190
aaron watson,Aaron Watson,0,0,2008,2019,2008-2019,6,0,6,0,0,0,1,0,2,0,2,,0,,0,0,0,Vaquero,10,Angels & Outlaws,175,1,10
aaron west and the roaring twenties,Aaron West And The Roaring Twenties,0,0,2014,2014,2014-2014,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,We Don't Have Each Other,101,We Don't Have Each Other,101,1,1
ab logic,AB Logic,1992,1992,0,0,1992-1992,1,2,0,0,0,0,0,0,0,0,0,The Hitman,60,The Hitman,60,20,31,,0,,0,0,0
ab quintanilla presenta kumbia all starz,AB Quintanilla Presenta Kumbia All Starz,0,0,2008,2008,2008-2008,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Planeta Kumbia,148,Planeta Kumbia,148,2,2
ab-soul,AB-Soul,0,0,2012,2016,2012-2016,3,0,3,0,0,0,0,0,1,0,2,,0,,0,0,0,These Days...,11,Control System,91,2,5
abaco dream,Abaco Dream,1969,1969,0,0,1969-1969,1,1,0,0,0,0,0,0,0,0,0,Life And Death In G & A,74,Life And Death In G & A,74,6,6,,0,,0,0,0
abandon all ships,Abandon All Ships,0,0,2012,2012,2012-2012,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Infamous,142,Infamous,142,1,1
abba,ABBA,1974,1982,1974,2021,1974-2021,13,20,14,1,0,4,1,10,5,15,9,Dancing Queen,1,Waterloo,6,17,261,Voyage,2,Waterloo,145,8,701
abc,ABC,1982,1987,1982,1987,1982-1987,6,7,4,0,0,2,0,4,0,5,3,When Smokey Sings,5,The Look Of Love (Part One),18,25,102,The Lexicon Of Love,24,The Lexicon Of Love,24,39,119
abigail washburn,Abigail Washburn,0,0,2014,2014,2014-2014,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Bela Fleck & Abigail Washburn,118,Bela Fleck & Abigail Washburn,118,1,1
abk,ABK,0,0,2003,2010,2003-2010,3,0,3,0,0,0,0,0,0,0,0,,0,,0,0,0,Hatchet Warrior,98,Hatchet Warrior,98,1,3
abn,ABN,0,0,2008,2008,2008-2008,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,It Is What It Is,62,It Is What It Is,62,3,3
above & beyond,Above & Beyond,0,0,2011,2018,2011-2018,4,0,4,0,0,0,1,0,1,0,2,,0,,0,0,0,Common Ground,3,Group Therapy,163,1,5
above the law,Above The Law,0,0,1990,1998,1990-1998,6,0,6,0,0,0,0,0,0,0,1,,0,,0,0,0,Black Mafia Life,37,Living Like Hustlers,75,16,44
abra moore,Abra Moore,1997,1997,0,0,1997-1997,1,1,0,0,0,0,0,0,0,0,0,Four Leaf Clover,63,Four Leaf Clover,63,13,13,,0,,0,0,0
abstrac',Abstrac',1989,1989,0,0,1989-1989,1,1,0,0,0,0,0,0,0,0,0,Right And Hype,89,Right And Hype,89,6,6,,0,,0,0,0
ac newman,AC Newman,0,0,2009,2009,2009-2009,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Get Guilty,99,Get Guilty,99,1,1
ac/dc,AC/DC,1979,1993,1977,2020,1977-2020,24,7,26,0,3,0,10,0,14,5,18,Moneytalks,23,Highway To Hell,47,10,82,For Those About To Rock (We Salute You),1,Let There Be Rock,154,11,1308
accept,Accept,0,0,1984,2017,1984-2017,8,0,8,0,0,0,0,0,0,0,1,,0,,0,0,0,Blind Rage,35,Balls To The Wall,74,26,63
acceptance,Acceptance,0,0,2005,2017,2005-2017,2,0,2,0,0,0,0,0,0,0,0,,0,,0,0,0,Phantoms,122,Phantoms,122,1,2
ace,Ace,1975,1975,1975,1977,1975-1977,2,2,3,0,0,1,0,1,1,1,1,How Long,3,How Long,3,16,20,Five-A-Side (An Ace Album),11,Five-A-Side (An Ace Album),11,22,30
ace cannon,Ace Cannon,1961,1964,0,0,1961-1964,4,5,0,0,0,0,0,1,0,2,0,Tuff,17,Tuff,17,16,33,,0,,0,0,0
ace frehley,Ace Frehley,1978,1978,1978,2024,1978-2024,9,1,9,0,0,0,1,1,1,1,6,New York Groove,13,New York Groove,13,21,21,Space Invader,9,Ace Frehley,26,23,69
ace hood,Ace Hood,2008,2013,2009,2013,2008-2013,4,5,3,0,0,0,2,0,2,2,3,Bugatti,33,Out Here Grindin,38,15,65,Trials & Tribulations,4,Ruthless,23,5,17
ace of base,Ace Of Base,1993,1998,1993,1998,1993-1998,5,8,3,1,1,4,1,6,1,7,2,The Sign,1,All That She Wants,2,36,190,The Sign,1,The Sign,1,102,141
ace spectrum,Ace Spectrum,1974,1974,1975,1975,1974-1975,2,1,1,0,0,0,0,0,0,0,0,Don't Send Nobody Else,57,Don't Send Nobody Else,57,6,6,Low Rent Rendezvous,138,Low Rent Rendezvous,138,7,7
ace young,Ace Young,0,0,2008,2008,2008-2008,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Ace Young,160,Ace Young,160,1,1
acraze,Acraze,2022,2022,0,0,2022-2022,1,1,0,0,0,0,0,0,0,0,0,Do It To It,65,Do It To It,65,12,12,,0,,0,0,0
action bronson,Action Bronson,2015,2015,2013,2017,2013-2017,3,1,3,0,0,0,1,0,1,0,1,Baby Blue,91,Baby Blue,91,1,1,Mr. Wonderful,7,SAAAB STORIES Produced By Harry Fraud (EP),63,1,7
action item,Action Item,0,0,2013,2013,2013-2013,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Resolution,72,Resolution,72,1,1
adam and the ants,Adam And The Ants,0,0,1981,1981,1981-1981,1,0,1,0,0,0,0,0,0,0,1,,0,,0,0,0,Kings Of The Wild Frontier,44,Kings Of The Wild Frontier,44,35,35
adam ant,Adam Ant,1982,1995,1981,1995,1981-1995,7,5,6,0,0,0,0,2,1,4,1,Goody Two Shoes,12,Goody Two Shoes,12,21,77,Friend Or Foe,16,Prince Charming,94,21,119
adam calhoun,Adam Calhoun,0,0,2018,2023,2018-2023,3,0,3,0,0,0,0,0,1,0,1,,0,,0,0,0,The Brave,14,AmerAcal,122,1,3
adam clayton,Adam Clayton,1996,1996,0,0,1996-1996,1,1,0,0,0,1,0,1,0,1,0,"Theme From Mission: Impossible (From ""Mission: Impossible"")",7,"Theme From Mission: Impossible (From ""Mission: Impossible"")",7,20,20,,0,,0,0,0
adam clayton powell,Adam Clayton Powell,0,0,1967,1967,1967-1967,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,"Keep The Faith, Baby!",112,"Keep The Faith, Baby!",112,9,9
adam faith,Adam Faith,1965,1965,0,0,1965-1965,1,2,0,0,0,0,0,0,0,1,0,It's Alright,31,It's Alright,31,8,10,,0,,0,0,0
adam gontier,Adam Gontier,2008,2008,0,0,2008-2008,1,1,0,0,0,0,0,0,0,0,0,I Don't Care,78,I Don't Care,78,16,16,,0,,0,0,0
adam hicks,Adam Hicks,2011,2011,0,0,2011-2011,1,2,0,0,0,0,0,0,0,0,0,Determinate,51,Determinate,51,3,4,,0,,0,0,0
adam lambert,Adam Lambert,2009,2015,2009,2023,2009-2023,7,10,9,0,1,1,3,2,3,4,4,Whataya Want From Me,10,Mad World,19,3,78,Trespassing,1,For Your Entertainment,3,50,84
adam levine,Adam Levine,2005,2021,0,0,2005-2021,8,13,0,0,0,2,0,2,0,5,0,Stereo Hearts,4,Heard 'Em Say,26,16,96,,0,,0,0,0
adam sandler,Adam Sandler,1999,1999,1993,2004,1993-2004,5,1,5,0,0,0,0,0,3,0,4,The Chanukah Song,80,The Chanukah Song,80,2,2,Stan And Judy's Kid,16,They're All Gonna Laugh At You,129,55,150
adam wade,Adam Wade,1960,1965,0,0,1960-1965,3,11,0,0,0,3,0,3,0,3,0,The Writing On The Wall,5,Ruby,58,8,78,,0,,0,0,0
adam wakefield,Adam Wakefield,2016,2016,2016,2016,2016-2016,1,2,1,0,0,0,0,0,0,0,1,Lonesome Broken And Blue,73,Lonesome Broken And Blue,73,1,2,The Voice: The Complete Season 10 Collection,34,The Voice: The Complete Season 10 Collection,34,1,1
adan chalino sanchez,Adan Chalino Sanchez,0,0,2004,2004,2004-2004,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Amor Y Lagrimas,70,Amor Y Lagrimas,70,5,5
adassa,Adassa,2022,2022,0,0,2022-2022,1,2,0,1,0,1,0,1,0,1,0,We Don't Talk About Bruno,1,We Don't Talk About Bruno,1,20,27,,0,,0,0,0
adc band,ADC Band,0,0,1978,1978,1978-1978,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Long Stroke,139,Long Stroke,139,9,9
addison agen,Addison Agen,0,0,2018,2018,2018-2018,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,The Voice: The Complete Season 13 Collection,76,The Voice: The Complete Season 13 Collection,76,1,1
addison rae,Addison Rae,2024,2025,2025,2025,2024-2025,2,3,1,0,0,0,1,0,1,0,1,Diet Pepsi,54,Diet Pepsi,54,20,28,Addison,4,Addison,4,7,7
addison road,Addison Road,0,0,2008,2008,2008-2008,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Addison Road,182,Addison Road,182,1,1
addrisi brothers,Addrisi Brothers,1959,1979,1977,1977,1959-1979,4,6,1,0,0,0,0,1,0,3,0,Slow Dancin' Don't Turn Me On,20,Cherrystone,62,6,49,Addrisi Brothers,118,Addrisi Brothers,118,14,14
adele,Adele,2008,2021,2008,2021,2008-2021,8,25,6,5,3,8,4,11,4,19,5,Rolling In The Deep,1,Chasing Pavements,21,7,361,21,1,19,4,222,1134
adelitas way,Adelitas Way,0,0,2011,2014,2011-2014,2,0,2,0,0,0,0,0,0,0,1,,0,,0,0,0,Stuck,30,Home School Valedictorian,66,1,3
adema,Adema,0,0,2001,2005,2001-2005,3,0,3,0,0,0,0,0,0,0,2,,0,,0,0,0,Adema,27,Adema,27,36,42
adina howard,Adina Howard,1995,2004,1995,1995,1995-2004,4,5,1,0,0,1,0,1,0,2,1,Freak Like Me,2,Freak Like Me,2,30,76,Do You Wanna Ride?,39,Do You Wanna Ride?,39,26,26
adore delano,Adore Delano,0,0,2014,2016,2014-2016,2,0,2,0,0,0,0,0,0,0,0,,0,,0,0,0,Till Death Do Us Party,59,Till Death Do Us Party,59,1,2
adrenaline mob,Adrenaline Mob,0,0,2012,2014,2012-2014,3,0,3,0,0,0,0,0,0,0,0,,0,,0,0,0,Omerta,70,Omerta,70,1,3
adrian baker,Adrian Baker,1982,1982,0,0,1982-1982,1,1,0,0,0,0,0,0,0,0,0,Seasons Of Gold,82,Seasons Of Gold,82,3,3,,0,,0,0,0
adrian belew,Adrian Belew,1989,1989,1982,1990,1982-1990,4,1,4,0,0,0,0,0,0,0,0,Oh Daddy,58,Oh Daddy,58,8,8,Lone Rhino,82,Lone Rhino,82,9,38
adrian kimberly,Adrian Kimberly,1961,1961,0,0,1961-1961,1,1,0,0,0,0,0,0,0,1,0,The Graduation Song... Pomp And Circumstance,34,The Graduation Song... Pomp And Circumstance,34,5,5,,0,,0,0,0
adventure club,Adventure Club,0,0,2013,2013,2013-2013,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Calling All Heroes (EP),151,Calling All Heroes (EP),151,1,1
aer,Aer,0,0,2012,2014,2012-2014,2,0,2,0,0,0,0,0,0,0,1,,0,,0,0,0,Aer,26,The Bright Side,85,1,2
aerosmith,Aerosmith,1973,2001,1973,2025,1973-2025,30,28,32,1,2,8,10,13,16,23,24,I Don't Want To Miss A Thing,1,Dream On,6,29,429,Get A Grip,1,Aerosmith,21,59,1287
aesop rock,Aesop Rock,0,0,2003,2025,2003-2025,10,0,10,0,0,0,0,0,0,0,3,,0,,0,0,0,Skelethon,21,Bazooka Tooth,112,1,15
aespa,aespa,0,0,2021,2025,2021-2025,5,0,7,0,0,0,2,0,4,0,7,,0,,0,0,0,Girls: The 2nd Mini Album (EP),3,Savage (EP),20,2,14
afi,AFI,2006,2006,2000,2025,2000-2025,9,2,9,0,1,0,4,0,5,1,5,Miss Murder,24,Miss Murder,24,20,25,Decemberunderground,1,The Art Of Drowning,174,1,104
afrika bambaataa & the soul sonic force,Afrika Bambaataa & The Soul Sonic Force,1982,1982,0,0,1982-1982,1,1,0,0,0,0,0,0,0,1,0,Planet Rock,48,Planet Rock,48,11,11,,0,,0,0,0
afrique,Afrique,1973,1973,1973,1973,1973-1973,1,1,1,0,0,0,0,0,0,1,0,Soul Makossa,47,Soul Makossa,47,9,9,Soul Makossa,152,Soul Makossa,152,8,8
afro celt sound system,Afro Celt Sound System,0,0,2001,2001,2001-2001,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Volume 3: Further In Time,176,Volume 3: Further In Time,176,4,4
afrojack,Afrojack,2011,2015,2014,2014,2011-2015,4,4,1,0,0,1,0,1,0,2,1,Hey Mama,8,Take Over Control,41,20,48,Forget The World,32,Forget The World,32,1,1
afroman,Afroman,2001,2001,2001,2001,2001-2001,1,1,1,0,0,0,1,1,1,1,1,Because I Got High,13,Because I Got High,13,10,10,The Good Times,10,The Good Times,10,19,19
after 7,After 7,1989,1995,1989,2016,1989-2016,8,8,5,0,0,2,0,3,0,6,2,Can't Stop,6,Heat Of The Moment,19,30,150,After 7,35,After 7,35,72,134
after the burial,After The Burial,0,0,2016,2019,2016-2019,2,0,2,0,0,0,0,0,0,0,1,,0,,0,0,0,Dig Deep,50,Dig Deep,50,1,2
after the fire,After The Fire,1983,1983,1983,1983,1983-1983,1,2,1,0,0,1,0,1,0,1,1,Der Kommissar,5,Der Kommissar,5,21,24,Atf,25,Atf,25,20,20
aftershock,Aftershock,1991,1991,0,0,1991-1991,1,1,0,0,0,0,0,0,0,0,0,Going Through The Motions,52,Going Through The Motions,52,16,16,,0,,0,0,0
afu-ra,Afu-Ra,0,0,2000,2002,2000-2002,2,0,2,0,0,0,0,0,0,0,0,,0,,0,0,0,Body Of The Life Force,183,Body Of The Life Force,183,1,3
against me!,Against Me!,0,0,2005,2016,2005-2016,5,0,5,0,0,0,0,0,0,0,2,,0,,0,0,0,Transgender Dysphoria Blues,23,Searching For A Former Clarity,114,1,8
against the current,Against The Current,0,0,2016,2016,2016-2016,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,In Our Bones,181,In Our Bones,181,1,1
agatha lee monn,Agatha Lee Monn,2014,2014,0,0,2014-2014,1,1,0,0,0,0,0,0,0,0,0,Do You Want To Build A Snowman?,51,Do You Want To Build A Snowman?,51,18,18,,0,,0,0,0
agnetha faltskog,Agnetha Faltskog,1983,1983,1983,2013,1983-2013,2,1,2,0,0,0,0,0,0,1,0,Can't Shake Loose,29,Can't Shake Loose,29,15,15,Wrap Your Arms Around Me,102,Wrap Your Arms Around Me,102,11,12
agnetha faltskog/peter cetera,Agnetha Faltskog/Peter Cetera,1988,1988,0,0,1988-1988,1,1,0,0,0,0,0,0,0,0,0,I Wasn't The One (Who Said Goodbye),93,I Wasn't The One (Who Said Goodbye),93,3,3,,0,,0,0,0
agust d,Agust D,2020,2023,2020,2023,2020-2023,2,2,2,0,0,0,1,0,2,0,2,Haegeum,58,Daechwita,76,1,2,D-Day,2,D-2,11,1,7
ahmad,Ahmad,1994,1994,0,0,1994-1994,1,1,0,0,0,0,0,0,0,1,0,Back In The Day,26,Back In The Day,26,20,20,,0,,0,0,0
ahmad jamal,Ahmad Jamal,0,0,1967,1980,1967-1980,2,0,2,0,0,0,0,0,0,0,0,,0,,0,0,0,Cry Young,168,Cry Young,168,8,13
aiden,Aiden,0,0,2005,2009,2005-2009,3,0,3,0,0,0,0,0,0,0,0,,0,,0,0,0,Conviction,54,Nightmare Anatomy,196,1,5
aimee mann,Aimee Mann,1995,1995,1993,2017,1993-2017,9,1,8,0,0,0,0,0,0,0,3,That's Just What You Are,93,That's Just What You Are,93,6,6,@#%&*! Smilers,32,Whatever,127,4,30
air,Air,0,0,2000,2012,2000-2012,6,0,6,0,0,0,0,0,0,0,1,,0,,0,0,0,Pocket Symphony,40,The Virgin Suicides (Original Score),161,1,15
air supply,Air Supply,1980,1986,1980,2003,1980-2003,7,13,7,1,0,8,2,9,2,11,5,The One That You Love,1,All Out Of Love,2,27,226,Greatest Hits,7,Lost In Love,22,104,261
airbourne,Airbourne,0,0,2008,2013,2008-2013,3,0,3,0,0,0,0,0,0,0,0,,0,,0,0,0,Black Dog Barking,89,Runnin' Wild,106,2,5
airto moreira,Airto Moreira,0,0,1974,1974,1974-1974,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,In Concert,114,In Concert,114,9,9
airwaves,Airwaves,1978,1978,0,0,1978-1978,1,1,0,0,0,0,0,0,0,0,0,So Hard Livin' Without You,62,So Hard Livin' Without You,62,6,6,,0,,0,0,0
ajr,AJR,2014,2022,2017,2023,2014-2023,8,6,5,0,0,1,2,1,2,1,3,Bang!,8,I'm Ready,65,11,76,Neotheater,8,The Click,61,45,73
akinyele,Akinyele,0,0,1996,1996,1996-1996,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Put It In Your Mouth (EP),127,Put It In Your Mouth (EP),127,4,4
akon,Akon,2004,2013,2004,2008,2004-2013,10,35,3,2,0,13,2,17,3,27,3,I Wanna Love You,1,Locked Up,8,27,623,Konvicted,2,Trouble,18,72,178
"akon, lil wayne & niia","Akon, Lil Wayne & Niia",2007,2007,0,0,2007-2007,1,1,0,0,0,0,0,1,0,1,0,Sweetest Girl (Dollar Bill),12,Sweetest Girl (Dollar Bill),12,28,28,,0,,0,0,0
akwid,Akwid,0,0,2004,2008,2004-2008,3,0,3,0,0,0,0,0,0,0,0,,0,,0,0,0,KOMP 104.9 Radio Compa,132,KOMP 104.9 Radio Compa,132,5,8
akwid / jae-p,Akwid / Jae-P,0,0,2005,2005,2005-2005,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Kickin' It...Juntos,192,Kickin' It...Juntos,192,1,1
al (he's the king) hirt,Al (He's the King) Hirt,1964,1965,0,0,1964-1965,2,5,0,0,0,1,0,1,0,3,0,Java,4,Java,4,16,42,,0,,0,0,0
al b. sure!,Al B. Sure!,1988,1992,1988,2009,1988-2009,4,5,4,0,0,1,0,1,2,4,3,Nite And Day,7,Nite And Day,7,21,78,In Effect Mode,20,In Effect Mode,20,54,87
al brown's tunetoppers,Al Brown's Tunetoppers,1960,1960,0,0,1960-1960,1,1,0,0,0,0,0,0,0,1,0,The Madison,23,The Madison,23,12,12,,0,,0,0,0
al caiola and his orchestra,Al Caiola And His Orchestra,1960,1961,0,0,1960-1961,2,2,0,0,0,0,0,1,0,2,0,Bonanza,19,The Magnificent Seven,35,12,22,,0,,0,0,0
al casey,Al Casey,1963,1963,0,0,1963-1963,1,1,0,0,0,0,0,0,0,1,0,Surfin' Hootenanny,48,Surfin' Hootenanny,48,8,8,,0,,0,0,0
al casey combo,Al Casey Combo,1962,1962,0,0,1962-1962,1,2,0,0,0,0,0,0,0,0,0,Jivin' Around,71,Jivin' Around,71,6,8,,0,,0,0,0
